,date,side,amountAsset,gainLoss,price,balanceAsset,positionSide,positionPrice,positionAsset
0,2020-02-21T00:11:43.838Z,sell,0.001043405676126878,-7.825542570951586e-07,9584.0,9.999999217445742,sell,9584.0,0.001043405676126878
1,2020-02-21T01:23:46.606Z,buy,0.0010400956888033698,-4.0900590901107475e-06,9614.5,9.99999512738665,,0.0,0.0
2,2020-02-21T01:24:21.559Z,buy,0.0010403120936280884,-7.802340702210663e-07,9612.5,9.999994347152581,buy,9612.5,0.0010403120936280884
